id,poem1,poem2,dataset1,dataset2,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
255a6de5-5f57-4302-a1fc-d040ca808c50_0,"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was","look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",lstm,gutenberg,2,2,2,2,1,2,1,2,1,1
255a6de5-5f57-4302-a1fc-d040ca808c50_1,"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was","look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",lstm,gutenberg,2,1,1,2,2,1,2,2,1,1
255a6de5-5f57-4302-a1fc-d040ca808c50_2,"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was","look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",lstm,gutenberg,2,1,1,1,1,1,2,1,2,2
8b879a1c-089d-41be-b7df-2e370c660792_0,"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.","my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",true_poetry,gutenberg,1,2,1,1,1,1,1,1,1,2
8b879a1c-089d-41be-b7df-2e370c660792_1,"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.","my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",true_poetry,gutenberg,1,1,2,1,2,2,2,1,1,2
8b879a1c-089d-41be-b7df-2e370c660792_2,"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.","my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",true_poetry,gutenberg,1,1,1,2,1,1,2,1,2,1
f017ca24-b7c1-4e58-ad94-897ece0db728_0,"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.","and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",true_poetry,hafez,1,2,2,2,2,1,1,1,1,1
f017ca24-b7c1-4e58-ad94-897ece0db728_1,"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.","and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",true_poetry,hafez,1,1,2,2,2,1,1,1,1,1
f017ca24-b7c1-4e58-ad94-897ece0db728_2,"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.","and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",true_poetry,hafez,1,2,1,2,1,2,1,2,1,2
28437e54-733a-4298-a21d-73b19799a929_0,"since he retired . though she you 'll toll <br>he needs you to the tale of birth and rite <br>“ mary hath seen we rest , your cares salute <br>whiles he comes sacred , and he speaks of gold","little would be ‘ tis brave ,<br>or paint sweet good , sweet fields ,<br>as far above them methinks<br>a dear fragrance .<br>sir and grave !<br>weary , spoken in death , with kindled a held whose beam",jhamtani,lstm,2,1,1,1,2,1,2,2,1,1
