pair_id,poem1,poem2,poem1_dataset,poem2_dataset,question1,question1_id,question2,question2_id,question3,question3_id,question4,question4_id,question5,question5_id
64a978e5-1bce-4801-a93d-d6dc6049c6b1,"she sang , and the song trembled down to my breast ,—<br>( it was sweet , so sweet the singing . )<br>as a dove just out of its fledgling nest ,<br>and , putting its wings to the first sweet test ,<br>flutters homeward so wearily winging .","to see some very little brighter tone ! <br>my name was never even morgan fisher. <br>but then my only human baritone, <br>has taken something from an old beginner. <br><br>another crazy alto saxophone ! <br>is there too many people being played, <br>or blinded by dynamic microphone ! <br>this feeling like a heavy metal blade.",gutenberg,hafez,Which poem is more intense?,intense-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem looks more like a real poem?,real-poem,Which poem do you like more?,liking-poem,Which poem is more readable?,readable-poem
7e6e98a3-367e-418d-9cc8-ca0481e71487,"i saw a tree , with a joyous star , <br>the sun hangs low on the sea <br>with a gentle voice , and a thorn , <br>a little while , and i saw her so —","in travelling guise they held the paschal feast<br>in olden days .<br>with loins girt about , and shoes on feet ,<br>and staves in hand , they met and shared the meat ,<br>and gave god praise .",ngram,gutenberg,Which poem looks more like a real poem?,real-poem,Which poem is more intense?,intense-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem
7d909579-d681-4197-b766-442c71ed8d45,"and ever they give me praise and gold ,<br>and ever i moan my loss ,<br>for i struck the blow for my false love 's sake ,<br>and not for the men at the moss .<br>— tarrant moss .","the summer sun rides high and clear ,<br>( the day is long , so long ,)<br>how long it must be ere it grows to a year —<br>how deep the sorrow that finds no tear ,<br>but only a wail of song .",gutenberg,gutenberg,Which poem has better rhyming?,rhyming-poem,Which poem is more melodious?,melodious-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem is more intense?,intense-poem,Which poem moves you emotionally more?,moved-poem
0d67e938-833c-42e7-ab8b-3287e6ff1397,"now let us pray the holy ghost ,<br>of all things , for the true faith most ,<br>in that to preserve us when we are dying ,<br>and going home out of this vale of crying :<br>kyrioleis .","and wanton sparks without a ghost embrac 'd <br>“ and tis this to me ! this life to you <br>he gave his tent , for herself he lov 'd <br>and slumber ceas 'd at past , the expanse r 'd",gutenberg,jhamtani,Which poem looks more like a real poem?,real-poem,Which poem is more grammatical?,grammatical-poem,Which poem moves you emotionally more?,moved-poem,Which poem do you like more?,liking-poem,Which poem is more readable?,readable-poem
fb29aa98-46f1-4520-8398-10cb93ab8c29,"i love to rise in a summer morn ,<br>when the birds sing on every tree ;<br>the distant huntsman winds his horn ,<br>and the skylark sings with me :<br>o what sweet company !","i think that , when the second herschel tried<br>those great hexameters in our english tongue ,<br>a nobler shield than ever achilles knew<br>shone through the song and made his<br>echoes live :",gutenberg,gutenberg,Which poem is more intense?,intense-poem,Which poem is more melodious?,melodious-poem,Which poem is more readable?,readable-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more comprehensible?,comprehensible-poem
73786126-8e29-403f-9173-9b4a8b52c199,"not even going over aaron carter ! <br>that crazy super funky old roulette ! <br>so mister mister mrs. tupac shakur, <br>this little party at my private jet. <br><br>some people wanna sing the latest lingo ! <br>too many people starring jennifer ! <br>they need another music video, <br>or maybe something like a fortune teller.","blow ! blow ! night 's “ mene tekel ” even now<br>glows on her palace-walls , and she shall pass<br>like the dim vapour from a burnish 'd glass ;<br>and no chill shadows o'er the soul shall go ,<br>borne by each weeping west wind to and fro .",hafez,gutenberg,Which poem is more comprehensible?,comprehensible-poem,Which poem is more readable?,readable-poem,Which poem do you like more?,liking-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more melodious?,melodious-poem
21bf1ba3-e04d-4c28-bf26-3741222c8874,"said i : “ we call that cruelty -<br>we , your poor mortal kind . ”<br>he mused . “ the thought is new to me .<br>forsooth , though i men 's master be ,<br>theirs is the teaching mind ! ”","but fancy , flitting through the gleams<br>of youth 's sunshiny atmosphere ,<br>has fallen in the past , and seems ,<br>like this poor leaflet nestled here ,—<br>a phantom guest of empty dreams .",gutenberg,gutenberg,Which poem looks more like a real poem?,real-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem,Which poem is more readable?,readable-poem
ed3933b1-3218-4c30-8b08-f66862d49cce,"the world was in its day of peril dark and glorious <br>wont to believe the dot of fond love, with one <br>in the dawn of the very same ; and when the storm <br>in one dim bourne, from starry bade, iove's eye <br>that looked and","before, before, behind, before and, well,<br>behind before, before, behind. and' dis,<br>before the coming into any hell,<br>before the going into any hell,<br>before, behind and after dis before,<br>before, above and falling under- well,<br>above, below, before before and for,<br>behind and falling after, falling, well,<br>behind and after falling. well. the. hell.",gpt2,true_poetry,Which poem looks more like a real poem?,real-poem,Which poem is more coherent?,coherent-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more melodious?,melodious-poem,Which poem do you like more?,liking-poem
233c0a19-b938-4ecd-8c92-15e0bc986c15,"the castle of our desire vultures we must be seen <br>the castle with its dark and silent thought <br>we should be weak and lone, and we should find <br>the want of strength, the want of power, and might <br>we wander free from care and woe, as free","the castle of our desire vultures we should not thought <br>we saw the an abused in the waste of light <br>the heat was great, but we could not hide <br>the fire was dim, but the foxes were spoiled afar <br>the vale of the holy water would not bare",gpt2,gpt2,Which poem is more grammatical?,grammatical-poem,Which poem is more intense?,intense-poem,Which poem do you like more?,liking-poem,Which poem is more readable?,readable-poem,Which poem is more coherent?,coherent-poem
cc09d073-2bc1-4f8c-9051-0e122e6de1ec,"there is a house with ivied walls ,<br>and mullioned windows worn and old ,<br>and the long dwellers in those halls<br>have souls that know but sordid calls ,<br>and daily dote on gold .","“ o my soul , make the song of the sea ! ” i cried .<br>“ how it comes , with its stately tread ,<br>and its dreadful voice , and the splendid pride<br>of its regal garments flowing wide<br>over the land ! ” to my soul i said .",gutenberg,gutenberg,Which poem is more comprehensible?,comprehensible-poem,Which poem is more readable?,readable-poem,Which poem do you like more?,liking-poem,Which poem is more melodious?,melodious-poem,Which poem looks more like a real poem?,real-poem
