pair_id,poem1,poem2,poem1_dataset,poem2_dataset,question1,question1_id,question2,question2_id,question3,question3_id,question4,question4_id
255a6de5-5f57-4302-a1fc-d040ca808c50,"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was","look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",lstm,gutenberg,Which poem is more comprehensible?,comprehensible-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more coherent?,coherent-poem,Which poem looks more like a real poem?,real-poem
8b879a1c-089d-41be-b7df-2e370c660792,"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.","my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",true_poetry,gutenberg,Which poem moves you emotionally more?,moved-poem,Which poem is more coherent?,coherent-poem,Which poem is more intense?,intense-poem,,
f017ca24-b7c1-4e58-ad94-897ece0db728,"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.","and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",true_poetry,hafez,Which poem is more intense?,intense-poem,Which poem is more grammatical?,grammatical-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more comprehensible?,comprehensible-poem
7c04617d-5517-4d9d-bb6b-83458fc234a9,"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .","when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",gutenberg,ngram,Which poem looks more like a real poem?,real-poem,Which poem is more coherent?,coherent-poem,Which poem moves you emotionally more?,moved-poem,,
7b017c52-05f0-473c-94a6-e45ae13f9ca9,"before he painted it, that people knew,<br>before he painted something, even) you,<br>in your perfect design for me. you who,<br>before i ever tasted you ( okay,<br>before we met and during many times,<br>before i ever touched you) ever- they,<br>the brothers, painted me, before the crimes.<br>before the crimes, the painting, after. you,<br>before and after, even, painted to.","he never finished any job until,<br>before he started to remove his jerk,<br>his little wooden leg began to fill.<br>he always wanted to remove himself,<br>before his owner even had begun.<br>he always started with himself in) self.<br>before his owner ever had the one,<br>before the wooden owner ever had,<br>before he even started to be bad.",true_poetry,true_poetry,Which poem has better rhyming?,rhyming-poem,Which poem is more intense?,intense-poem,Which poem is more coherent?,coherent-poem,Which poem looks more like a real poem?,real-poem
8e3154f4-e91b-4b3d-a891-592b491b19b0,"this was her birth-day here ,<br>when summer 's latest flowers<br>were kindling to their flush and prime ,<br>as if they felt how short the time<br>in these terrestrial bowers .","with only many high commandment thou. <br>for whom we never often virgin mary, <br>who ever heard an angry solemn vow ! <br>not any mother catholic missionary. <br><br>this very little father holy see ! <br>my brother there is celebrating easter, <br>to worship jesus politician b ! <br>or nothing like an old religious leader.",gutenberg,hafez,Which poem looks more like a real poem?,real-poem,Which poem is more readable?,readable-poem,Which poem is more melodious?,melodious-poem,Which poem has better rhyming?,rhyming-poem
54e2704e-3356-49bb-b987-e3fed10293f3,"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside","without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",jhamtani,hafez,Which poem is more readable?,readable-poem,Which poem is more intense?,intense-poem,Which poem has better rhyming?,rhyming-poem,,
27f67cec-a04d-445b-b958-042877674a02,"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",aturesthe castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,ngram,gpt2,Which poem looks more like a real poem?,real-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more comprehensible?,comprehensible-poem,,
a247760e-5ddf-40f7-bc2a-5398aee58dd5,"and says he was, engaging ev'ry day<br>but parson were a chin upon the breast<br>and she asked her in the place to say<br>she left her back:— he presently at last","and far up into sunset, scattered vast<br>that god's infinite darkness into strife<br>yet lo! the spot of all a world of life<br>and never with the everlasting rest",deepspeare,deepspeare,Which poem is more comprehensible?,comprehensible-poem,Which poem is more intense?,intense-poem,Which poem has better rhyming?,rhyming-poem,,
eb2609ea-cacf-499d-8192-9c23d0bf67ee,"if hope , when she lured me and beckoned ,<br>had pushed at my shoulders instead ,<br>and fame , on whose favors i reckoned ,<br>had laureled the worthiest head ,<br>i could garland the years that are dead .","“ where is my love , ” said the lass , <br>“ i have no word , ” says he . <br>“ he 's a king , ” he replied , “ he went to bed ,",gutenberg,ngram,Which poem has better rhyming?,rhyming-poem,Which poem looks more like a real poem?,real-poem,Which poem moves you emotionally more?,moved-poem,,
