pair_id,poem1,poem2,poem1_dataset,poem2_dataset,question1,question1_id,question2,question2_id,question3,question3_id,question4,question4_id
e0959c07-cd47-4616-a993-bea07a18765c,"opened then the marble portals .<br>fragrant incense filled the air ,<br>( sandalwood and roses rare )<br>while the girls with red-lipped languor<br>scattered flowers everywhere .","come , let other , run wake , and palms azure the rose ,<br>april , in the hair and the knowledge grace<br>of the pure , tender love , our friends<br>and butterflies through their faces<br>bear",gutenberg,lstm,Which poem is more grammatical?,grammatical-poem,Which poem moves you emotionally more?,moved-poem,Which poem has better rhyming?,rhyming-poem,,
3995d98b-e7d2-450f-a0c4-8e8e9224b22c,"“ but till the moon has taken all , i wage<br>“ war on the mightiest men under the skies ,<br>“ and they have fallen or fled , age after age :<br>“ light is man 's love , and lighter is man 's rage ;<br>“ his purpose drifts and dies . ”","than all one world of all the most to be <br>this past its home .— if any longer crown 'd <br>with treasure , and the sunset , pining cease <br>like sunset music spread upon my breast",gutenberg,jhamtani,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem,Which poem is more intense?,intense-poem,,
c84df3d8-db89-49dd-890a-7b891c11d759,"the castle of our desire vultures we found <br>weigh we [ a serene and lone and fine <br>we coled like it ; the hall of our own ferns <br>a dim and a clock to mark you the passing hour <br>in bronze as its decrees, the perished","the world was in its day of peril dark and glorious <br>wontian, marsepulchral, helen we were sons <br>in the lone sky and in the aisles stretch of dreams <br>but when the shades of death did not set <br>her eyes were dazzled,",gpt2,gpt2,Which poem has better rhyming?,rhyming-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more intense?,intense-poem,,
13c0d195-59f5-4769-bfb4-ffa7f79fd376,"“ when thou art older , thou shalt mind<br>to traverse countries far and wide ,<br>and thou shalt go where roses blow<br>and balmy waters singing glide —<br>so ninna and anninia !",saucethe castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of boughs <br>reach in the castle of the holy grail <br>and all the wanderers of the leafy vale,gutenberg,gpt2,Which poem is more intense?,intense-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem is more grammatical?,grammatical-poem,,
70fa41d4-c71e-4550-866d-3f6c3e6c1816,"the radiance at first confused ; in a day<br>stands no few , my fish , had passed<br>the light word on : cheered “ - there sweetheart now , no nice . hear —<br>past pleasant there rest , but ours seem<br>to","when forster wrote the above , the ms. was in the possession of mr .<br>bolton corney , who had not been aware of its existence when he edited<br>goldsmith 's poems in 1845 . in 1854 it was , with his permission , included<br>in vol . iv of cunningham 's ‘ works ’ of 1854 , and subsequently in the<br>aldine ‘ poems ’ of 1866 .",lstm,gutenberg,Which poem is more coherent?,coherent-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem is more readable?,readable-poem,,
f590a701-37e7-48d6-be61-58086aebccdb,"they only really wanna wonder mayor ! <br>are ye not having any irish former ! <br>no one would ever marry captain baker, <br>or even dad was also senior porter. <br><br>i need another younger secretary, <br>to see the very famous little pastor ! <br>my baby daddy had an uncle jesse, <br>for being treated like a vice commander.","but feel the praise , or lose his want to man <br>to give what envy is but folly for thee <br>to death , but thou the voice for such a look <br>and risen from all thy thoughts like words began",hafez,jhamtani,Which poem is more coherent?,coherent-poem,Which poem is more readable?,readable-poem,Which poem moves you emotionally more?,moved-poem,,
78e7ffb8-f327-4865-85a4-8eb7aab52e84,"fresh up , to like a butterfly with gold <br>his startled hand ; and round to flame and blood <br>with the brook 's life , and tamed , and forces still <br>call from the home , he snatched away","we also really wanna copy mode ! <br>i know how many new composing stick ! <br>this song is written under random code ! <br>no one can never hear another click. <br><br>so please consider me obituary. <br>i wonder whether flying buffalo, <br>or travel through an english dictionary ! <br>not even any color indigo.",jhamtani,hafez,Which poem do you like more?,liking-poem,Which poem is more readable?,readable-poem,Which poem moves you emotionally more?,moved-poem,,
d7e4b0d3-ceab-4a5d-9ad2-f2cc813d3730,"peerless perfect poets ye ,<br>singing songs all songs excelling ,<br>fine as crystal music dwelling<br>in a welling fountain free :<br>peerless perfect poets three !","i go nor more love where april vengeance ,<br>and its light through the hills we see ,<br>and all the companions sleeps the wind ,<br>but bestow the verse<br>is always relief makes ;<br>it gave no prefer upon the ghostly rides ,<br>and wild words is nearer than it .",gutenberg,lstm,Which poem is more readable?,readable-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more intense?,intense-poem,,
ef934c2c-d107-4661-8ebd-5b00f2466fd4,"mamma , maybe , does not speak it ,<br>but she prints the thought on velvet ,<br>rosy-hued , with fondest kisses ,<br>when the pink , soft page is lying<br>folded closely to her bosom .","we gotta latin english disco swinger ! <br>she like it really santa ana river, <br>to me that special purple yellow stripper ! <br>some shiny velvet blue exterior. <br><br>i see this very new hotel motel, <br>my lovely sexy little shopping malls. <br>en una calle de la camino del ! <br>with naked fingers through the window stalls.",gutenberg,hafez,Which poem is more coherent?,coherent-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem
15de145f-7795-42bb-a423-574183876975,"not going under second night patrol ! <br>i only wanna rescue operation, <br>but there is nothing at complete control ! <br>as any total rapid transformation. <br><br>life without another guided missile ! <br>no power from the giant class corvette, <br>and like an iron st. additional ! <br>created by a modern fighter jet.","we name it beauty — that permitted part ,<br>the love-elected apotheosis<br>of nature , which the god within the heart ,<br>just touching , makes immortal , but by this —<br>a star , a rose , the memory of a kiss .",hafez,gutenberg,Which poem has better rhyming?,rhyming-poem,Which poem do you like more?,liking-poem,Which poem moves you emotionally more?,moved-poem,,
